X,Y,objectid,featuretype,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,description,voltagekv,locality,comment_,x_coordinate,y_coordinate
148.167520648,-20.0178178649999,803,Substation,Terminal,Bowen North,Operational,Queensland,5,1763510400000,{37E90247-D2D5-4BC9-AD11-22C68784D693},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Bowen,,148.16752065,-20.01781786
151.216681575,-23.849778586,832,Substation,Terminal,Gladstone,Operational,Queensland,5,1763510400000,{59E5592F-D64D-4BC1-97FC-0DB64EEBA4F0},"A structure in which high voltage electricity supply is converted, controlled or transformed",275,Callemondah,,151.21668158,-23.84977859
151.216882008,-23.85070103,855,Substation,Terminal,Gladstone,Operational,Queensland,5,1763510400000,{39BB38BD-A231-4174-8CF3-F78ED0D2BF41},"A structure in which high voltage electricity supply is converted, controlled or transformed",275,Callemondah,,151.21688201,-23.85070103
151.679513829,-27.4195918889999,856,Substation,Terminal,Oakey,Operational,Queensland,5,1763510400000,{A95C5DC6-1C7F-4E20-867E-9A81693578BE},"A structure in which high voltage electricity supply is converted, controlled or transformed",110,Oakey,,151.67951383,-27.41959189
151.274319079,-27.965235161,960,Substation,Terminal,Millmerran,Operational,Queensland,5,1763510400000,{834FD9A3-18B2-4329-8195-3EEE4DC2DA7C},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Clontarf (Toowoomba),,151.27431908,-27.96523516
145.755070207,-16.9462411229999,966,Substation,Zone,Cairns Terminal,Operational,Queensland,5,1763510400000,{C63AC9E0-B8B7-4482-9C46-3D600532F956},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Portsmith,,145.75507021,-16.94624112
152.812013533,-27.658245425,978,Substation,Terminal,Swanbank A,Non-Operational,Queensland,5,1763510400000,{94E772E5-7D98-4364-B723-CE8EDDA8CA32},"A structure in which high voltage electricity supply is converted, controlled or transformed",110,Swanbank,,152.81201353,-27.65824543
152.81894569,-27.6551516599999,982,Substation,Terminal,Swanbank E,Operational,Queensland,5,1763510400000,{A6523F03-4FAE-4C18-9A83-AD4DF7B8AAD0},"A structure in which high voltage electricity supply is converted, controlled or transformed",275,Swanbank,,152.81894569,-27.65515166
145.16846103,-38.16294196,1490,Substation,Zone,Frankston Terminal,Operational,Victoria,5,1763510400000,{91727429-702D-4D91-8C01-4937E649B480},"A structure in which high voltage electricity supply is converted, controlled or transformed",66,Langwarrin,,145.16846103,-38.16294196
146.869144085,-41.0426690629999,1754,Substation,Zone,Basslink Cable terminal,Operational,Tasmania,5,1763510400000,{ABAA617D-28F4-4B3D-8D99-C7A1107C954D},"A structure in which high voltage electricity supply is converted, controlled or transformed",400,Low Head,,146.86914409,-41.04266906
