title,status,size_mw,size_mwh,year_operational,technology,owner,categories,latitude,longitude,state
Gruyere Micro Grid,Operating,13.2,,2022,N/A,APA,11,-29.17,121.24,WA
Latitude solar battery,Operating,5.0,11.0,2017,Tesla,Byron Bay Solar Farm Holdings,1,-34.16,143.58,NSW
Solomon,Operating,16.0,5.0,2024,N/A,Fortescue Metals,1,-21.029986968338033,119.70895078722177,WA
Iron Bridge,Operating,26.0,8.0,2023,N/A,Fortescue,1,-21.306070580843443,119.52523004341107,WA
Cunderdin,Operating,55.0,220.0,2024,Sungrow,Naturgy,1,-31.560518477614306,117.44969176191914,WA
Koorangie Energy Storage System,Operating,185.0,370.0,2025,Tesla Megapack,Sostoneo,1,-35.79,144.15,VIC
Terang,Construction,100.0,200.0,2025,Lithium-ion,FRV,3,-38.25,142.92,VIC
Swanbank,Construction,250.0,500.0,2024,Lithium-ion,CleanCo,3,-27.62715526898222,152.75797733368069,QLD
Stanwell,Construction,300.0,1200.0,2027,Tesla Megapack,Stanwell,3,-23.84,150.41,QLD
Mount Piper Big Battery,Announced,500.0,2000.0,2028,Not specified,EnergyAustralia,2,-20.121498929904433,132.9205233655552,NT
Bulabul Battery Energy Storage System,Construction,400.0,1000.0,2027,Fluence,Ampyr Energy JV,3,-27.5,151.5,QLD
Uungula,Announced,150.0,300.0,2026,Not specified,Squadron Energy,2,-31.5,147.5,NSW
Mount Fox,Announced,300.0,600.0,2025,Not specified,TagEnergy,2,-19.827782627235784,133.18092448804666,NT
Gnarwarre,Announced,250.0,500.0,2025,Not specified,FRV,2,-27.154794748506383,120.87969020929344,WA
Yabulu,Proposed,200.0,400.0,2024,Not specified,Ace Energy,4,-19.25,146.77,QLD
Rangebank,Operating,200.0,400.0,2024,Fluence,"Shell, Eku Energy.",1,-38.18182601677821,145.10063779865197,VIC
Williamsdale,Construction,250.0,500.0,2026,Tesla,Eku Energy.,3,-35.72,149.37,ACT
Tungkillo,Proposed,270.0,1480.0,2025,N/A,RES,4,-34.69,139.18,SA
Dinawan,Construction,300.0,1200.0,2029,N/A,Spark Renewables,3,-26.914956246911604,120.81712435941573,WA
Mallee,Proposed,350.0,700.0,2026,N/A,Spark Renewables,4,-35.12,142.46,VIC
Wattle Creek,Proposed,800.0,1600.0,2027,N/A,Spark Renewables,4,-27.10820895775816,120.90692714174547,WA
